area,type,n_qualifying,basic,substitutes
Financial Accounting,foundation,6,30000,30116 30120 30122 30130 30131
Microeconomics,foundation,6,33001 33002,33101 33230 ECON 30100 ECON 30200
Statistics,foundation,18,41000 41100,41202 41203 41204 41206 41207 41215 41201 41301 41305 41813 41814 41901 41902 41903 41910 41916
Finance,function,15,35000 35001 35200,34101 34901 34902 34903 34904 35100 35120 35130 35150 35201 35210 35214
Marketing,function,16,37000 37110,37101 37103 37105 37106 37107 37200 37201 37202 37208 37209 37110 37301 37304 37703 37704
Operations,function,4,40000,40101 40108 40110
Strategy,function,6,42001,39001 39101 42116 42135 42715
Decisions,function,6,30005 30001,36106 38002 38120 36109
People,function,6,33032 38001 38003,39002 31403 38122
Economy,function,9,33050 33040,33112 33401 33403 33501 33502 33503 33520
Society,function,12,33305 33471 37212,38119 30133 33251 34113 34117 38115 38126 42136 42201
