course_number,course_name,units,section_code,quarter,year,professor,time,core_area,application,flagship,r1_price_new,r1_price_returning,bid_matched,strict_prereqs,recommended_prereqs,conc:Accounting,conc:Applied Artificial Intelligence,conc:Behavioral Science,conc:Business Analytics,"conc:Business, Society and Sustainability",conc:Econometrics and Statistics,conc:Economics,conc:Entrepreneurship,conc:Finance,conc:Analytic Finance,conc:General Management,conc:Healthcare,conc:International Business,conc:Marketing Management,conc:Operations Management,conc:Strategic Management
30000,FINANCIAL ACCOUNTING,100,30000-06,Autumn,2025,"Errico, Marco",W 8:30 AM-11:30 AM,Financial Accounting,,,88,0,Y,,,Y,,,,,,,,,,,,,,,
30000,FINANCIAL ACCOUNTING,100,30000-07,Autumn,2025,"Errico, Marco",TH 8:30 AM-11:30 AM,Financial Accounting,,,0,0,Y,,,Y,,,,,,,,,,,,,,,
30000,FINANCIAL ACCOUNTING,100,30000-85,Autumn,2025,"Errico, Marco",S 1:30 PM-4:30 PM,Financial Accounting,,,0,0,Y,,,Y,,,,,,,,,,,,,,,
30000,FINANCIAL ACCOUNTING,100,30000-04,Autumn,2025,"Granja, Joao",F 8:30 AM-11:30 AM,Financial Accounting,,,0,0,Y,,,Y,,,,,,,,,,,,,,,
30000,FINANCIAL ACCOUNTING,100,30000-05,Autumn,2025,"Granja, Joao",F 1:30 PM-4:30 PM,Financial Accounting,,,0,0,Y,,,Y,,,,,,,,,,,,,,,
30000,FINANCIAL ACCOUNTING,100,30000-81,Summer,2026,,M 6:00 PM-9:00 PM,Financial Accounting,,,,,,,,Y,,,,,,,,,,,,,,,
30000,FINANCIAL ACCOUNTING,100,30000-01,Winter,2026,"Heltzer, Wendy",,Financial Accounting,,,0,0,Y,,,Y,,,,,,,,,,,,,,,
30000,FINANCIAL ACCOUNTING,100,30000-02,Winter,2026,"Heltzer, Wendy",T 1:30 PM-4:30 PM,Financial Accounting,,,0,0,Y,,,Y,,,,,,,,,,,,,,,
30000,FINANCIAL ACCOUNTING,100,30000-81,Winter,2026,"Heltzer, Wendy",W 6:00 PM-9:00 PM,Financial Accounting,,,0,0,Y,,,Y,,,,,,,,,,,,,,,
30000,FINANCIAL ACCOUNTING,100,30000-85,Winter,2026,"Kleymenova, Anya",S 1:30 PM-4:30 PM,Financial Accounting,,,0,0,Y,,,Y,,,,,,,,,,,,,,,
30000,FINANCIAL ACCOUNTING,100,30000-81,Spring,2026,"Le, Anthony",,Financial Accounting,,,0,0,Y,,,Y,,,,,,,,,,,,,,,
30000,FINANCIAL ACCOUNTING,100,30000-85,Spring,2026,"Le, Anthony",S 1:30 PM-4:30 PM,Financial Accounting,,,0,0,Y,,,Y,,,,,,,,,,,,,,,
30000,FINANCIAL ACCOUNTING,100,30000-01,Autumn,2025,"Nikolaev, Valeri",M 1:30 PM-4:30 PM,Financial Accounting,,,0,0,Y,,,Y,,,,,,,,,,,,,,,
30000,FINANCIAL ACCOUNTING,100,30000-02,Autumn,2025,"Nikolaev, Valeri",T 8:30 AM-11:30 AM,Financial Accounting,,,1201,0,Y,,,Y,,,,,,,,,,,,,,,
30000,FINANCIAL ACCOUNTING,100,30000-03,Autumn,2025,"Nikolaev, Valeri",T 1:30 PM-4:30 PM,Financial Accounting,,,300,0,Y,,,Y,,,,,,,,,,,,,,,
30000,FINANCIAL ACCOUNTING,100,30000-81,Autumn,2025,"Nikolaev, Valeri",M 6:00 PM-9:00 PM,Financial Accounting,,,0,0,Y,,,Y,,,,,,,,,,,,,,,
